ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
45772692,54568,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,255406 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45691966,24775,1750,LEXUS,RX 400 RESTAILING,2008,Jeep,Yes,Hybrid,3.3,235200 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45757291,862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,280354 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45759272,392,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45786906,23834,-,LEXUS,RX 400,2007,Jeep,Yes,Hybrid,3.3,14000 km,6.0,Automatic,4x4,04-May,Left wheel,Black,10
45813628,48610,-,LEXUS,IS 250,2014,Sedan,Yes,Petrol,2.5,96000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,16
45770127,54568,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45813884,8154,1811,LEXUS,LS 460,2010,Sedan,Yes,Petrol,4.6,175363 km,8.0,Automatic,Rear,04-May,Left wheel,Black,12
45769859,110,2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,0 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45763904,81539,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45768546,282,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,218126 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45653306,941,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45645674,941,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
43596721,25402,-,LEXUS,RX 400 HYBRID,2008,Jeep,Yes,Hybrid,3.3,270432 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,8
45651850,5018,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,167222 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45761322,40142,1811,LEXUS,GX 470,2010,Jeep,Yes,Petrol,4.6,357246 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,0
45656432,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45816418,51746,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,220000 km,8.0,Tiptronic,4x4,04-May,Left wheel,White,0
45654520,314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45807628,26657,-,LEXUS,IS 250,2009,Sedan,Yes,Petrol,2.5,245000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Grey,10
45655766,941,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,361603 km,6.0,Automatic,Front,04-May,Left wheel,Black,12
45649809,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45644169,21012,-,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.5,158000 km,4.0,Automatic,Front,04-May,Left wheel,White,10
45806834,549,1053,LEXUS,IS 350,2014,Sedan,Yes,Petrol,3.5,89315 km,6.0,Automatic,Rear,04-May,Left wheel,Black,12
45660710,220,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,317470 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
45758230,12858,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,255406 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
44729649,24148,1750,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.3,209000 km,6.0,Variator,4x4,04-May,Left wheel,Black,10
45649770,941,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45556418,49550,1055,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,64248 km,6.0,Tiptronic,4x4,04-May,Left wheel,Grey,10
45815436,18817,1714,LEXUS,IS 300,2017,Sedan,Yes,Petrol,3.5,62811 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
45763967,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45760188,157,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,189704 km,8.0,Automatic,4x4,04-May,Left wheel,Grey,0
45649716,282,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,311949 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12
45655644,8154,1750,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.3,224629 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45815465,2352,1273,LEXUS,IS 350,2015,Sedan,Yes,Petrol,3.5,80856 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45761360,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45658610,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,04-May,Left wheel,White,12
45768549,706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45785718,34497,1058,LEXUS,RX 350,2012,Jeep,Yes,Petrol,3.5,174400 km,6.0,Tiptronic,Front,04-May,Left wheel,Grey,10
45768518,46728,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,260771 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45655127,941,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,361603 km,6.0,Automatic,Front,04-May,Left wheel,Black,12
45655120,34811,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,229334 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45757754,470,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,32974 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45655182,314,1646,LEXUS,GX 460,2015,Sedan,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45649805,7997,1850,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,244731 km,6.0,Automatic,Front,04-May,Left wheel,Black,12
45655086,220,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,317470 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
45782176,17876,585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8 Turbo,267015 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,12
45660878,62722,690,LEXUS,RX 450,2016,Jeep,Yes,Hybrid,3.5,59858 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12
45759230,862,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,280354 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45728314,47000,1058,LEXUS,RX 350,2012,Jeep,Yes,Petrol,3.5,170000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12
45768387,69935,1646,LEXUS,GX 470,2015,Jeep,Yes,Petrol,4.6,273493 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45766642,39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45760112,470,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,32974 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45763754,46728,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,260771 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45766635,54568,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45768517,54568,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,255406 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45815355,8154,1172,LEXUS,IS 350,2011,Sedan,Yes,Petrol,3.5,259066 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45651260,188,1172,LEXUS,RX 450,2011,Jeep,Yes,Hybrid,3.5,101816 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45813956,3450,1399,LEXUS,RX 350,2010,Jeep,Yes,Petrol,3.5,136542 km,6.0,Automatic,Front,04-May,Left wheel,Blue,0
45653158,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45654183,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45758080,47042,1646,LEXUS,GX 470,2015,Jeep,Yes,Petrol,4.6,106918 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45344115,53941,-,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,104000 km,6.0,Tiptronic,Front,04-May,Left wheel,Black,12
45658769,188,1172,LEXUS,RX 450,2011,Jeep,Yes,Hybrid,3.5,101816 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45755697,5331,585,LEXUS,CT 200h,2013,Hatchback,Yes,Hybrid,1.8,174043 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45095432,51432,-,LEXUS,GX 470,2007,Jeep,Yes,Petrol,4.7,150000 km,8.0,Automatic,4x4,04-May,Left wheel,Beige,12
45653734,314,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45765383,470,353,LEXUS,CT 200h,2015,Hatchback,Yes,Hybrid,1.8,115347 km,4.0,Automatic,Front,04-May,Left wheel,Grey,0
45754642,18189,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,200000 km,4.0,Variator,Front,04-May,Left wheel,Brown,12
45811175,25089,456,LEXUS,NX 300,2015,Jeep,Yes,Hybrid,2.5,108344 km,4.0,Automatic,4x4,04-May,Left wheel,Silver,12
45756973,706,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,102907 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45769851,470,2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,69918 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45651238,706,1172,LEXUS,RX 350,2011,Jeep,Yes,Petrol,3.5,192338 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45815379,3763,891,LEXUS,IS 200,2016,Sedan,Yes,Petrol,2,58328 km,4.0,Automatic,Rear,04-May,Left wheel,White,12
45656506,220,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,317470 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,12
45764199,470,2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,69918 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45760219,470,2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,69918 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45655664,314,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45649719,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,04-May,Left wheel,White,12
44063560,13000,2056,LEXUS,IS 250,2012,Sedan,Yes,Petrol,2.5,43000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,6
45816570,25089,-,LEXUS,HS 250h,2011,Sedan,Yes,Hybrid,2.5,86000 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12
45768660,3293,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,224267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45401623,53314,1058,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,65000 km,6.0,Automatic,Front,04-May,Left wheel,Golden,8
45788904,59586,1055,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,111460 km,6.0,Tiptronic,4x4,04-May,Left wheel,Silver,12
45763769,54568,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45772546,55195,1823,LEXUS,RX 350,2018,Sedan,Yes,Petrol,3.5,15744 km,6.0,Automatic,4x4,04-May,Left wheel,White,12
45653275,188,1172,LEXUS,RX 450,2011,Jeep,Yes,Hybrid,3.5,101816 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45758239,6272,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45765690,1882,831,LEXUS,HS 250h,2011,Sedan,Yes,Hybrid,2.4,0 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
44153685,140,-,LEXUS,GX 470,2007,Jeep,Yes,LPG,4.7,150000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Silver,12
45727764,6115,779,LEXUS,ES 300,2013,Sedan,Yes,Hybrid,2.5,152400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12
45656510,13956,603,LEXUS,RX 450,2015,Jeep,Yes,Hybrid,3.5,143619 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45658776,941,1058,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,232357 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45772831,3293,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,224267 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45768400,52059,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,229334 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45782184,12231,586,LEXUS,CT 200h,2012,Hatchback,Yes,Hybrid,1.8 Turbo,136194 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,12
45637760,40769,-,LEXUS,ES 300,2013,Sedan,Yes,Hybrid,2.5,8700 km,12.0,Tiptronic,Front,04-May,Left wheel,White,12
45653705,34811,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,229334 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45764771,470,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,32974 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0
45768390,54568,1360,LEXUS,GX 470,2013,Jeep,Yes,Petrol,4.6,202651 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45772848,16935,353,LEXUS,CT 200h,2015,Hatchback,Yes,Hybrid,1.8,94949 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45647622,15681,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,275240 km,8.0,Automatic,4x4,04-May,Left wheel,Silver,0
45659914,4077,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,150909 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45768182,16935,353,LEXUS,CT 200h,2015,Hatchback,Yes,Hybrid,1.8,94949 km,4.0,Automatic,Front,04-May,Left wheel,White,0
45815481,627,891,LEXUS,IS 200,2016,Sedan,Yes,Petrol,2,68286 km,4.0,Automatic,Rear,04-May,Left wheel,Grey,12
45768436,392,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45738290,47038,-,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,166000 km,6.0,Variator,4x4,04-May,Left wheel,Silver,0
45813161,4861,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,95590 km,4.0,Automatic,Front,04-May,Left wheel,White,12
45754210,100355,-,LEXUS,GS 350,2017,Sedan,Yes,Petrol,3.5,25000 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45658742,7997,1850,LEXUS,RX 450,2008,Jeep,Yes,Hybrid,3.5,244731 km,6.0,Automatic,Front,04-May,Left wheel,Black,12
45805001,64604,1493,LEXUS,RX 350,2016,Jeep,No,Petrol,3.5,0 km,6.0,Automatic,4x4,04-May,Left wheel,White,0
45815375,11917,-,LEXUS,RX 300,2002,Jeep,Yes,Petrol,3.0 Turbo,201000 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,8
37904919,100,-,LEXUS,GX 460,2011,Jeep,Yes,Petrol,4.6,170000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,12
45771475,39829,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45653761,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45765348,706,645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,116869 km,4.0,Automatic,Front,04-May,Left wheel,Black,0
45661288,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,04-May,Left wheel,White,12
45652018,941,1058,LEXUS,RX 450,2012,Jeep,Yes,Hybrid,3.5,232357 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12
45804469,58332,1055,LEXUS,RX 350,2013,Jeep,Yes,Petrol,3.5,165581 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4
45759885,282,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,218126 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45804454,45210,1399,LEXUS,RX 350,2010,Jeep,Yes,Petrol,3.5,74592 km,4.0,Automatic,Front,04-May,Left wheel,Black,4
45651889,1019,1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038 km,6.0,Automatic,Front,04-May,Left wheel,White,12
45789185,78403,-,LEXUS,RC F,2015,Coupe,Yes,Petrol,3.5,86000 km,6.0,Tiptronic,4x4,02-Mar,Left wheel,Grey,16
45815514,627,1356,LEXUS,LS 460,2014,Sedan,Yes,Petrol,4.6,208267 km,8.0,Automatic,Rear,04-May,Left wheel,Silver,12
45760207,392,1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
45793578,39201,1399,LEXUS,RX 450 HYBRID,2010,Jeep,Yes,Hybrid,3.5,148250 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,12
45769793,30734,2151,LEXUS,GX 470,2009,Jeep,Yes,Petrol,4.7,264339 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45758222,47042,1646,LEXUS,GX 470,2015,Jeep,Yes,Petrol,4.6,106918 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45661237,13328,1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005 km,6.0,Automatic,4x4,04-May,Left wheel,Silver,12
45771485,282,2455,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,218126 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45769788,81539,1935,LEXUS,GX 460,2016,Jeep,Yes,Petrol,4.6,155976 km,8.0,Automatic,4x4,04-May,Left wheel,White,0
44123741,43905,-,LEXUS,IS-F,2008,Sedan,Yes,Petrol,5,101000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Grey,12
45811715,6115,-,LEXUS,GS 300,2002,Sedan,Yes,CNG,3.5,190000 km,6.0,Automatic,Front,04-May,Left wheel,Silver,4
45763747,54568,1363,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,255406 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45758089,5018,1646,LEXUS,GX 460,2015,Jeep,Yes,Petrol,4.6,188078 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0
45653392,11290,690,LEXUS,RX 450,2016,Jeep,Yes,Hybrid,3.5,59858 km,6.0,Automatic,Front,04-May,Left wheel,Silver,12
